Wavelength (nm),30 s reaction,30 s reaction_overnight,300 s reaction,300 s reaction_overnight,600 s reaction,600 s reaction_overnight
726.9927368,-0.004399687,0.008140146,0.00134559,0.009531397,0.008697691,0.01038097
725.991394,-0.004365963,0.008181057,0.001641161,0.009610415,0.008505128,0.010562219
724.989624,-0.004431871,0.008168527,0.001567918,0.009608933,0.008589399,0.010750654
723.9875488,-0.004756292,0.008011742,0.001434482,0.009480543,0.008371153,0.010463908
722.9851074,-0.004960155,0.007674284,0.001090105,0.009263463,0.007947567,0.010077883
721.9823608,-0.00462979,0.007810073,0.001126412,0.009194529,0.00804465,0.010306584
721.0150757,-0.004780052,0.007833452,0.000972018,0.009255213,0.007814317,0.010094707
720.0116577,-0.004865096,0.007836219,0.001249811,0.009434431,0.00779434,0.010273927
719.0078735,-0.004834019,0.007759236,0.001130253,0.009244397,0.007747141,0.010035521
718.0037842,-0.004719831,0.007667039,0.001332192,0.009174091,0.007836298,0.010137101
716.9993286,-0.004959234,0.007788963,0.001226239,0.009117278,0.007705928,0.010133496
715.9945679,-0.00492243,0.007805356,0.001049519,0.009279832,0.008073183,0.010070915
714.9894409,-0.004760799,0.007730882,0.001023182,0.009242652,0.008072049,0.010195849
713.9839478,-0.004954525,0.007772729,0.001097319,0.009267377,0.008066063,0.010170727
713.0140381,-0.004927959,0.00767265,0.000996561,0.009188553,0.007979468,0.010029216
712.0079346,-0.004912193,0.007843626,0.001259832,0.009468982,0.008194641,0.010433017
711.0015259,-0.004869448,0.007685693,0.00108014,0.00930961,0.007839488,0.010130052
709.9946899,-0.004832227,0.007864475,0.001211806,0.009527772,0.008223132,0.01047722
708.9875488,-0.005007088,0.007776234,0.00132853,0.009584215,0.0080283,0.010303455
708.0160522,-0.005022134,0.007829867,0.001235974,0.00946631,0.008251149,0.010266055
707.0083618,-0.005104419,0.007947013,0.001326064,0.009585062,0.008248142,0.010380466
706.0001831,-0.004980321,0.007830078,0.001562099,0.009857856,0.008207515,0.010320739
704.9917603,-0.005062511,0.00782536,0.001534068,0.009816628,0.00814922,0.010346161
703.9829102,-0.004998132,0.007810785,0.001451468,0.009839161,0.008159005,0.010364347
703.0098267,-0.004887979,0.007938339,0.001479779,0.00988582,0.008171164,0.010488278
702.0003662,-0.005009647,0.007833662,0.001387008,0.009850282,0.007902223,0.010565747
700.9906616,-0.004806934,0.007958613,0.001614996,0.009808606,0.007619116,0.010659782
700.0166016,-0.004937787,0.007948964,0.001461259,0.009983364,0.007655051,0.010717991
699.0061646,-0.004920844,0.008145737,0.001313834,0.010024846,0.009194159,0.010680528
697.9954834,-0.005065939,0.008007839,0.001241711,0.010105676,0.009505149,0.010668617
696.984375,-0.005206638,0.00790333,0.0013566,0.009891646,0.009029576,0.01056519
696.0090942,-0.005086663,0.008019151,0.001189561,0.010114154,0.008895333,0.010742296
694.9973145,-0.005167759,0.00791572,0.001104897,0.0100347,0.008659214,0.010666494
693.9852295,-0.005057445,0.007924156,0.001376958,0.010140545,0.008576963,0.010613862
693.0090332,-0.004893867,0.008050979,0.001577583,0.010279706,0.008690613,0.01088871
691.9963989,-0.004992246,0.008142308,0.001441468,0.010208993,0.008596395,0.010851126
690.9833374,-0.005161108,0.008221074,0.001429963,0.010429516,0.008834831,0.010998002
690.0061646,-0.004940244,0.008035921,0.001415341,0.010222324,0.008661855,0.010789185
688.9924927,-0.005103498,0.007980391,0.001645215,0.010261841,0.00880992,0.010793669
688.0147095,-0.004926116,0.008173591,0.001398798,0.010216202,0.008724128,0.010686154
687.0003662,-0.004864277,0.008190869,0.001694847,0.010403745,0.008457588,0.0108468
685.9858398,-0.00475112,0.008219227,0.001985793,0.010630548,0.008793674,0.011174701
685.0071411,-0.004823216,0.007805988,0.001643344,0.010233562,0.008634022,0.010913343
683.9918213,-0.005032779,0.007966707,0.001720471,0.010318671,0.008434414,0.011053893
683.0125732,-0.004833712,0.00811116,0.001746435,0.010428217,0.008553201,0.011109181
681.996582,-0.004981089,0.0080538,0.001808686,0.01033402,0.008207673,0.011099806
681.0166626,-0.004934357,0.008280039,0.001935139,0.010557206,0.008744333,0.01107256
680.0001221,-0.005001049,0.008263628,0.001976458,0.010500132,0.009205105,0.011116537
678.9833374,-0.004754859,0.008442068,0.001911634,0.010712817,0.009245349,0.011442834
678.0025024,-0.004518417,0.008546232,0.00224904,0.010916873,0.009471389,0.011445173
676.9849854,-0.004638191,0.008337006,0.002207253,0.010635801,0.009214465,0.011270622
676.00354,-0.00467005,0.008448693,0.001996689,0.01066782,0.008781048,0.011165591
674.9854736,-0.004726283,0.008504125,0.002087847,0.010861398,0.009127694,0.011404539
674.0033569,-0.004510373,0.008594072,0.002158758,0.010594154,0.008968844,0.011202086
672.9846191,-0.004828541,0.00829806,0.002072033,0.010600653,0.008879189,0.011237946
672.0020142,-0.004684442,0.008489977,0.002294994,0.010793802,0.008866983,0.011294187
670.982666,-0.004586761,0.008480368,0.002332495,0.010903548,0.009015938,0.011634524
669.9993286,-0.004518622,0.008469492,0.002352067,0.010842156,0.009096633,0.011530494
669.0158081,-0.004236271,0.008739446,0.002669186,0.011213189,0.009317015,0.011945511
667.9954834,-0.004432998,0.008725079,0.002668352,0.011158367,0.009493772,0.011694619
667.0113525,-0.004079358,0.008770297,0.00291304,0.01124565,0.00955807,0.011861013
665.9905396,-0.004282565,0.008795999,0.002538404,0.011074685,0.009650168,0.011902914
665.0057373,-0.004558687,0.008470997,0.002504999,0.011054052,0.009195534,0.011661539
663.9841919,-0.004633939,0.00870976,0.002314616,0.011187105,0.008952222,0.011899216
662.9989014,-0.004725823,0.008685384,0.002433954,0.010886613,0.008864394,0.011900785
662.0132446,-0.00469914,0.008628397,0.002529552,0.011084138,0.00887158,0.011810764
660.9907837,-0.004675018,0.008617202,0.002706901,0.011181713,0.008362049,0.011815445
660.0045776,-0.00445324,0.008760128,0.00262228,0.011514625,0.0092165,0.01207024
659.0180664,-0.004674044,0.008759415,0.00265348,0.01129246,0.009936906,0.012110565
657.994751,-0.004665184,0.008797822,0.002560277,0.011230535,0.009771565,0.011796586
657.0076294,-0.004639164,0.008604317,0.002534108,0.011140625,0.009537748,0.011704059
655.9837036,-0.004425157,0.008836443,0.002922057,0.011623011,0.009481205,0.012199052
654.9959717,-0.004645771,0.008740555,0.00261103,0.011339381,0.009528037,0.01193226
654.0080566,-0.004752503,0.008538364,0.002526427,0.011567472,0.008977036,0.012098986
652.9832153,-0.004680959,0.008481925,0.002801152,0.011378628,0.009352668,0.012169395
651.9945679,-0.004709383,0.008675244,0.002642568,0.011552345,0.009488719,0.011976085
651.0057983,-0.004484549,0.008532003,0.002975251,0.011672202,0.009965723,0.012200623
650.0166626,-0.004657296,0.008503941,0.002886851,0.011408073,0.009628464,0.012101887
648.9905396,-0.004503353,0.008722305,0.002833095,0.011686614,0.009403692,0.01229528
648.0008545,-0.004397227,0.008749748,0.003047688,0.011818318,0.009820811,0.012452074
647.0108643,-0.004437251,0.008693413,0.00303614,0.011669676,0.009838499,0.012393712
645.9838867,-0.004316654,0.008598587,0.003005329,0.011763259,0.009917838,0.012340765
644.9933472,-0.004437559,0.008585227,0.002942177,0.01181861,0.009645218,0.012474745
644.0025024,-0.004407169,0.008658765,0.002877991,0.011920447,0.009605254,0.012432442
643.0113525,-0.004483729,0.008630801,0.002990863,0.011720467,0.00953272,0.0124159
641.9832153,-0.004385183,0.008901331,0.003254563,0.012108382,0.009875359,0.012701966
640.9914551,-0.004546084,0.008706407,0.003121885,0.011785574,0.009685582,0.012445894
639.9995117,-0.004540909,0.008799221,0.003116149,0.012025609,0.009734369,0.012780816
639.0072021,-0.004324907,0.0086641,0.003129029,0.01202159,0.00977093,0.012726328
638.0147095,-0.00440061,0.008659399,0.003095552,0.012091853,0.009791343,0.012648048
