Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
250,0.911843419,0.698059618,0.608620942,0.634711683,0.648944557,0.570905209,0.6128245,0.596323848,0.393780649,0.33230871,0.443288982,0.367015928,0.427340269,0.425160021,0.444049746,0.320129007,0.427456975,0.283990055
250.9299927,0.934841514,0.820235968,0.611684442,0.731013238,0.608485162,0.676176488,0.702951074,0.514179468,0.563786566,0.460817367,0.404425204,0.313475519,0.486983061,0.592409313,0.534382999,0.379650712,0.427311689,0.264242679
252.0299988,1.021569729,0.713680327,0.7321738,0.666495025,0.700770795,0.565880358,0.6541875,0.581074834,0.588053644,0.391944051,0.568896353,0.447734475,0.502683461,0.675037146,0.449041277,0.605255365,0.483975857,0.481601328
252.9600067,0.944816351,0.775431752,0.66555196,0.847767591,0.663258731,0.738398373,0.703977466,0.621168733,0.546175957,0.56697607,0.481780648,0.324065059,0.42943266,0.698414743,0.585527658,0.489149064,0.656965494,0.376358151
254.0599976,1.055582404,0.591260076,0.73192066,0.602196276,0.799616158,0.587422252,0.722046494,0.576650918,0.397065163,0.525476873,0.517161131,0.361713499,0.452441454,0.681211114,0.396681666,0.460878521,0.479701519,0.455596834
255,0.989445925,0.784159958,0.832477212,0.670229495,0.65267241,0.715469897,0.56680578,0.487906873,0.351741135,0.437032372,0.227519333,0.398613513,0.528308511,0.647598445,0.475494415,0.50733006,0.459550709,0.38520804
255.9299927,0.946013153,0.722761989,0.796601176,0.707842231,0.577233911,0.680933893,0.615534127,0.690812171,0.675887346,0.472797811,0.553043365,0.486965567,0.572934568,0.42439279,0.503566921,0.432986945,0.58913058,0.498024523
257.0299988,0.94574964,0.606787562,0.553349853,0.545035303,0.590927184,0.627676308,0.572604954,0.455341995,0.344908446,0.508171976,0.372727394,0.420020044,0.387328833,0.488888234,0.498870611,0.415098518,0.322449476,0.427845865
257.9599915,0.966183543,0.597114742,0.456225753,0.618458629,0.57316649,0.505822837,0.563023448,0.444065303,0.432157159,0.341554195,0.412512064,0.372127622,0.40950042,0.522373021,0.303912282,0.45922333,0.344344437,0.318096131
259.0599976,0.97773385,0.50351429,0.527132392,0.577519298,0.519407868,0.491159141,0.480528355,0.483315557,0.384389728,0.333154976,0.435833454,0.4071621,0.400649071,0.464327544,0.339918435,0.230624989,0.385200202,0.291853279
260,0.799595594,0.563875675,0.531404078,0.500893116,0.446952343,0.448870808,0.423676938,0.410666108,0.414839953,0.34402284,0.360820442,0.313786298,0.301659137,0.304805428,0.392545372,0.330341399,0.413067967,0.26590693
261.0700073,0.684308708,0.543678761,0.506424129,0.403318733,0.592890978,0.466493398,0.546005666,0.430675298,0.390621275,0.329504818,0.383611351,0.307071,0.320884883,0.380665958,0.403608084,0.407347411,0.34783262,0.29837817
262,0.674729884,0.576525986,0.579281688,0.560526669,0.648424327,0.595604658,0.388969243,0.460954189,0.393780291,0.281333506,0.425052404,0.308909535,0.407327831,0.41128993,0.420685709,0.302547455,0.391585916,0.321443409
263.0700073,0.83611095,0.590735853,0.638843894,0.640766203,0.496913612,0.57152462,0.442654163,0.465023607,0.421706796,0.313497186,0.366430521,0.354574561,0.366907179,0.405414522,0.413361639,0.338287354,0.311675608,0.297476053
264,0.759802699,0.641824245,0.692916453,0.526480734,0.624678433,0.614560127,0.512901902,0.567715168,0.551024914,0.346491784,0.450856626,0.304269522,0.425604343,0.494749457,0.515103579,0.367403924,0.448767722,0.350670666
265.0700073,1.04884243,0.574142694,0.640301347,0.572817862,0.570702255,0.556202292,0.509982944,0.506701112,0.395786762,0.390086591,0.358134121,0.366643071,0.377800941,0.29540202,0.45765993,0.372444242,0.422963053,0.412585199
266,0.748997092,0.549012423,0.494028449,0.513533473,0.53532511,0.540458977,0.30990839,0.453052431,0.368642509,0.387391686,0.40096733,0.423591554,0.495666116,0.421305269,0.362182945,0.363700211,0.453486174,0.437203437
267.0700073,0.813294291,0.558198273,0.484845638,0.608265221,0.626392841,0.66490972,0.408599824,0.529075086,0.373345524,0.298443317,0.483034879,0.363129497,0.373831779,0.46402055,0.343246609,0.424160153,0.416121751,0.346929669
268,0.836023331,0.597546697,0.546990991,0.492015898,0.486117393,0.496698081,0.465100825,0.428734243,0.49626112,0.326528758,0.402266115,0.368896425,0.346314549,0.471592188,0.366812617,0.302202702,0.370470166,0.364141196
269.0700073,0.982882321,0.600457609,0.624843836,0.472070843,0.576919079,0.527557075,0.485351682,0.465294242,0.433275551,0.332332879,0.362701833,0.363583475,0.393358469,0.375594676,0.378417581,0.314462125,0.369196713,0.32687217
270,0.914253235,0.498017877,0.489903092,0.473169386,0.60424757,0.377932608,0.577433884,0.380009562,0.407652199,0.316493243,0.310580105,0.33042109,0.444440156,0.409908056,0.298968554,0.432296485,0.380606622,0.369689465
270.9299927,0.800073862,0.599050701,0.541727006,0.610494852,0.467486322,0.46468401,0.526223421,0.597179055,0.412460029,0.394796193,0.346938968,0.343958884,0.321484357,0.40867126,0.33981818,0.259672821,0.432973772,0.295542091
272.0299988,0.833567739,0.538886607,0.604436755,0.512235224,0.583329558,0.453099668,0.496109188,0.361886144,0.539510131,0.359082937,0.40081948,0.368904084,0.377558649,0.364069939,0.40759024,0.371154934,0.410344422,0.29063499
272.9599915,0.789865434,0.661831141,0.56197089,0.581178844,0.601873934,0.469816506,0.539265871,0.441761166,0.360988021,0.271014959,0.352590173,0.366624653,0.376104802,0.450864762,0.367370158,0.297417879,0.393473834,0.327436358
274.0599976,0.867691338,0.524533451,0.477971911,0.591093004,0.566293478,0.514106333,0.536501229,0.494753778,0.413371205,0.423327178,0.392196208,0.330423772,0.471890718,0.386726081,0.377643496,0.333425939,0.351975709,0.363584161
275,0.991157353,0.659636736,0.497409731,0.526251495,0.605510116,0.545015454,0.599326432,0.510300517,0.40530476,0.392273188,0.444894612,0.369959295,0.420721948,0.4780249,0.404624283,0.361756623,0.490134805,0.393538088
275.9299927,0.9540084,0.731966972,0.58728385,0.541351676,0.592307746,0.545820177,0.511073291,0.534468293,0.452236146,0.444330335,0.458592892,0.442660958,0.469582558,0.493717194,0.383846939,0.432226837,0.460554034,0.381124318
277.0299988,1.040402293,0.718056202,0.562119067,0.610017598,0.608254611,0.616042137,0.546752393,0.557424486,0.382055461,0.47121191,0.390766472,0.432073295,0.427288175,0.431393713,0.392287612,0.351219535,0.517433524,0.426567882
277.9599915,0.912427902,0.551163137,0.620619833,0.559756339,0.667001784,0.569305718,0.58021754,0.387083054,0.560383856,0.400367171,0.452959657,0.364991546,0.493865401,0.49116388,0.477159619,0.452776372,0.510890782,0.39651069
279.0599976,0.931078732,0.698394597,0.705928862,0.595445275,0.594778955,0.580361724,0.577055931,0.540248513,0.497591853,0.474286228,0.396134466,0.419952422,0.391221732,0.484895051,0.340390146,0.431228429,0.424140155,0.3585549
280,0.875445247,0.619855702,0.568834007,0.461481363,0.62614876,0.596670806,0.475540042,0.411250204,0.413273126,0.374175817,0.40652886,0.303355098,0.539550006,0.57611835,0.407659948,0.383656234,0.473105013,0.289606243
280.9299927,0.927010119,0.615716159,0.657971144,0.622229099,0.693174124,0.577850938,0.584224045,0.456492394,0.49140048,0.406616956,0.509831071,0.393221229,0.422770619,0.486666322,0.304790944,0.382547975,0.363015562,0.350327462
282.0299988,0.938670397,0.641854405,0.547846794,0.654808342,0.650046229,0.569747329,0.401555121,0.450742841,0.448923498,0.401995361,0.47456947,0.360476941,0.430324107,0.541895926,0.420532972,0.408769965,0.354385048,0.24653931
282.9599915,1.019523025,0.662498057,0.544295251,0.709017515,0.578698635,0.671533108,0.508042574,0.48192358,0.548871338,0.524911463,0.420072466,0.382881701,0.44956103,0.539374292,0.357203454,0.380766839,0.398476928,0.331241429
284.0599976,1.179785132,0.731865048,0.646912038,0.624838591,0.65715754,0.688857496,0.55549109,0.551944613,0.512816191,0.492125988,0.359216422,0.441707134,0.475392222,0.588004708,0.417522311,0.386963636,0.51420933,0.329429299
285,1.363573551,0.651438594,0.68833971,0.656593442,0.697385252,0.80871433,0.60523659,0.586859286,0.49601537,0.486055255,0.383836389,0.476198286,0.55305171,0.570299804,0.589299977,0.409004778,0.531808794,0.411349803
285.9299927,1.502648592,0.864548564,0.725205004,0.793747187,0.813251019,0.781854451,0.55733943,0.672779799,0.633588433,0.502467036,0.524947286,0.473116547,0.587812662,0.684824109,0.510473073,0.548696816,0.564590931,0.524609327
287.0299988,1.818181872,1.06924808,0.918512523,0.939158857,0.911083162,0.979243457,0.720286131,0.833687484,0.56918484,0.640652299,0.4928253,0.557217181,0.759502053,0.85084796,0.622532248,0.522266805,0.640675187,0.432021409
287.9599915,2.293878078,1.193416357,0.95794934,1.115693212,1.13729763,1.122093678,0.799562335,0.86627686,0.690460145,0.794254899,0.63226378,0.657347322,0.817837119,0.867926419,0.65718323,0.739104331,0.823233843,0.502582252
289.0599976,3.086740732,1.5314188,1.177895665,1.519655347,1.265419602,1.334836721,0.865971625,1.115873337,1.009891987,0.964155614,0.631822228,0.87711972,1.052445531,1.163686275,0.995562851,0.958812714,1.054165244,0.742416799
