Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,570 s,600 s
383.9984741,0.127215236,0.361252457,0.343472183,0.450437546,0.346553266,0.43004635,0.51335752,0.377883971,0.42875737,0.258189857,0.420677096,0.394554138,0.535514355,0.451277614,1.294785261,0.63018471
382.988678,0.129278362,0.367110759,0.34884724,0.456598043,0.351285964,0.435289085,0.519937694,0.382406265,0.433411866,0.260810345,0.424316168,0.398959905,0.541494787,0.45611161,1.307924747,0.636312485
382.0175781,0.132100403,0.373328209,0.354711354,0.464289427,0.356716126,0.442094684,0.527407825,0.388087153,0.439587057,0.264173627,0.428706706,0.403988272,0.548291981,0.461669356,1.323312402,0.643628836
381.0075378,0.134923056,0.380463928,0.361061692,0.471861184,0.36265254,0.44894737,0.535424769,0.393638641,0.446058154,0.268068761,0.433906764,0.409475356,0.555746675,0.467776656,1.34064436,0.652046859
379.9973145,0.137668133,0.387075841,0.367287099,0.479847133,0.36823225,0.455301493,0.543016315,0.399309903,0.452354699,0.271590501,0.439153165,0.414828152,0.562800169,0.473411143,1.357201815,0.659619331
378.986908,0.140546933,0.394255757,0.373837411,0.487924337,0.373958677,0.461976141,0.551110387,0.405247599,0.458521009,0.275223136,0.444031209,0.420089901,0.569896698,0.479061186,1.372309804,0.667414725
378.0152283,0.142868325,0.400256515,0.37915197,0.494411111,0.379067183,0.468174189,0.557467103,0.409946173,0.464051396,0.278417707,0.449526966,0.424951047,0.576438963,0.484399349,1.387097001,0.674348533
377.0045471,0.145596996,0.406679124,0.384757221,0.501757622,0.384500295,0.474292159,0.564910829,0.415250599,0.469891548,0.281656265,0.454700053,0.429768533,0.58283782,0.49018544,1.402750611,0.681935787
375.9937134,0.149002895,0.414875895,0.392191887,0.510629475,0.391215712,0.481975377,0.574444354,0.42193237,0.477337897,0.285788745,0.459639221,0.436335594,0.59131515,0.496767223,1.42073226,0.691083014
374.9827576,0.152200565,0.423205644,0.399646908,0.519653976,0.398051292,0.48960954,0.583021462,0.428198338,0.484818637,0.289989978,0.464949131,0.442532957,0.599751234,0.503821075,1.439779401,0.700126171
374.010498,0.155056268,0.43012771,0.405925661,0.527763605,0.403963,0.496471822,0.591594219,0.434089899,0.490911663,0.293668896,0.470067382,0.447838545,0.607043088,0.509950638,1.456805706,0.707566202
372.999176,0.158344537,0.437557548,0.412951559,0.535728633,0.410293698,0.503575683,0.599599481,0.440173149,0.497441828,0.297550976,0.474529058,0.4538849,0.614962876,0.516099393,1.475504518,0.716366828
371.9877625,0.16206941,0.44642663,0.42074278,0.545740664,0.417245448,0.512145221,0.609740317,0.447273433,0.505468369,0.302183837,0.481241643,0.460828245,0.624365628,0.523395658,1.496275425,0.726654291
371.0150757,0.165323943,0.454698324,0.428420872,0.554866791,0.42414096,0.519889951,0.618864596,0.453801304,0.51314348,0.306395739,0.487621903,0.467140228,0.632244349,0.530279696,1.514384508,0.735936165
370.0033264,0.169091806,0.463243723,0.436389566,0.564565301,0.430982292,0.528145611,0.628359795,0.460916519,0.521103203,0.310535818,0.493732512,0.474214286,0.641818643,0.538040757,1.535097003,0.745421171
368.9914856,0.172687933,0.472244293,0.444128364,0.574339807,0.438444644,0.536286771,0.638050914,0.46775049,0.528775156,0.315085679,0.499263912,0.480948269,0.650844276,0.545550406,1.556254983,0.755309165
