Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
650.0166626,-0.005649568,-0.002743924,-0.00701488,-0.005913332,-0.006543254,-0.00608495,-0.005698828,-0.007666454,-0.006284312,0.000809717,-0.006357072,-0.004955446,0.003299555,0.001550071,-0.003857327,-0.004637576,-0.007043254,-0.007699719
648.9905396,-0.00583779,-0.002752464,-0.006754231,-0.006026084,-0.006488224,-0.005976503,-0.005631426,-0.007732269,-0.006110628,0.001035845,-0.006161521,-0.005006116,0.003063642,0.001548746,-0.003958712,-0.004641008,-0.006885773,-0.007696158
648.0008545,-0.005704449,-0.002615753,-0.006844189,-0.005868642,-0.006178875,-0.0060462,-0.005632652,-0.007409555,-0.006166574,0.000932403,-0.006120021,-0.00475025,0.003109865,0.001648359,-0.003473585,-0.004567345,-0.006715949,-0.007527109
647.0108643,-0.005631579,-0.002580089,-0.007066176,-0.006003668,-0.006289108,-0.006056105,-0.005627031,-0.00758038,-0.006145442,0.000863612,-0.006260175,-0.004897348,0.003365524,0.001881059,-0.00352073,-0.004630866,-0.006858051,-0.00746284
645.9838867,-0.005709099,-0.002663661,-0.006997508,-0.005970988,-0.006503627,-0.005869663,-0.005838811,-0.007687918,-0.00613559,0.000880731,-0.006281199,-0.005001561,0.003180318,0.001627598,-0.003844396,-0.004627588,-0.007002654,-0.007296551
644.9933472,-0.005837228,-0.002780449,-0.006816923,-0.006064223,-0.006406558,-0.006039001,-0.005781393,-0.007643869,-0.006054062,0.000815422,-0.006274616,-0.004899856,0.003388482,0.001585611,-0.003669682,-0.004663852,-0.006878435,-0.007449151
644.0025024,-0.005742412,-0.002688101,-0.006780481,-0.006175761,-0.006308192,-0.006029453,-0.005707157,-0.007582211,-0.006036703,0.000706718,-0.006157641,-0.00490907,0.003356055,0.001820643,-0.003902276,-0.004631942,-0.006751071,-0.00734084
643.0113525,-0.006033028,-0.00300699,-0.007043406,-0.006375133,-0.006512909,-0.006271197,-0.005837381,-0.007893054,-0.006440736,0.000708585,-0.006415026,-0.005080319,0.003161856,0.001323987,-0.003995905,-0.004746921,-0.007154389,-0.007680238
641.9832153,-0.005822159,-0.002516782,-0.006799085,-0.005921861,-0.006417781,-0.005932687,-0.005693105,-0.007623877,-0.006066163,0.000945089,-0.006146105,-0.004737038,0.003429808,0.001640641,-0.003682106,-0.004750813,-0.006713247,-0.007226698
640.9914551,-0.006023633,-0.002744284,-0.007117618,-0.006282985,-0.006519182,-0.006227973,-0.005726164,-0.007871396,-0.006184285,0.000680428,-0.006336255,-0.005078988,0.003066432,0.001575842,-0.003974923,-0.004886495,-0.006954764,-0.007554381
639.9995117,-0.005829055,-0.002531503,-0.006900193,-0.006039359,-0.006434564,-0.005931257,-0.00563577,-0.007735982,-0.006166574,0.000761222,-0.006324775,-0.004829207,0.003380707,0.00175982,-0.003633643,-0.004750557,-0.006682455,-0.007190035
639.0072021,-0.005919869,-0.002821189,-0.006772989,-0.005963737,-0.006375846,-0.006069277,-0.005739704,-0.007845415,-0.006157743,0.000820272,-0.006282679,-0.004866632,0.003267369,0.001654309,-0.00375905,-0.004430487,-0.00653897,-0.006986809
638.0147095,-0.0058999,-0.002709094,-0.006901518,-0.006233536,-0.00657839,-0.006090719,-0.005797383,-0.007847855,-0.006152894,0.00059957,-0.006220828,-0.004984825,0.003204986,0.00159169,-0.003611566,-0.00466544,-0.006683934,-0.007112067
636.9851074,-0.005859345,-0.002717891,-0.007004997,-0.006066418,-0.006491386,-0.0059884,-0.005827727,-0.007855837,-0.006208835,0.000763167,-0.006394161,-0.005011182,0.003149757,0.001641005,-0.0038095,-0.004754039,-0.006810654,-0.007137124
