Run,Abs_peak_nm,Eg_prime_eV,Radius_nm
Run 4,503.98535,2.460388977576432,2.042115413359905
Run 4,505.0112,2.4553910883560603,2.0483135038677904
Run 4,503.98535,2.460388977576432,2.042115413359905
Run 4,499.99368,2.480031347596234,2.0183040276298607
Run 4,499.004791,2.4849460814094666,2.0124786896450546
Run 4,499.99368,2.480031347596234,2.0183040276298607
Run 4,503.98535,2.460388977576432,2.042115413359905
Run 4,503.98535,2.460388977576432,2.042115413359905
Run 5,470.010162,2.6382408302057097,1.853278976125926
Run 5,487.99912,2.5409881886672254,1.9495146104618566
