Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
450,54.68334198,16.79658318,13.36913872,12.12149715,12.43278694,10.84082794,11.22791576,10.49533844,10.46609306,9.682894707,10.35781002,9.926543236,10.06027889,9.578005791,10.51505375,10.34814548,11.17468262,11.42639351
451.0599976,59.65830994,18.43512726,13.85983086,13.06395245,13.14417362,11.38064575,11.94637966,10.95361137,10.90158176,10.14597893,11.12478828,10.27590466,10.52458954,10.05009174,11.17082024,10.96352577,11.70199203,12.04529381
451.9599915,63.11313248,19.67697716,14.74954224,13.6210041,13.96544647,11.84580231,12.66254616,11.58689117,11.41072273,10.84413528,11.68620491,10.93430424,11.06254578,10.7289753,11.67643642,11.56242657,12.47749233,12.41675568
453.0299988,68.29805756,21.31019402,15.86175346,14.74816895,14.66580105,12.72660923,13.34904575,12.65217304,12.02411079,11.71724415,12.56865978,11.6022768,11.8539238,11.27996159,12.42936134,12.15942478,13.05405045,13.26008797
453.9299927,72.56188965,23.0812912,16.62681389,15.48608685,15.7598629,13.56469345,13.96324158,13.18257618,12.9913702,12.04451561,13.38060284,11.99447823,12.29096889,11.89630985,12.57106495,12.76506424,13.57421112,13.94318104
455,77.6539917,25.03707886,17.7815094,16.44799232,16.55005074,14.13637352,15.22006321,13.95888805,13.920434,13.05500889,14.12932968,12.83083534,12.9247961,12.80475807,13.63545799,13.26361847,14.90312195,14.96550655
456.0599976,82.3994751,27.68101311,18.82106018,17.17459106,17.37508202,15.07163715,15.80266285,14.72856522,14.56452084,13.80662346,14.59504604,13.66450405,13.87988663,13.16005898,14.32874775,14.11269188,15.44699192,15.63438606
456.9599915,85.50493622,29.47104073,19.81207466,17.88482475,18.0019722,15.52887917,16.68535423,15.64516544,15.07974339,14.42473602,15.38179874,14.39504051,14.43113136,14.08862209,15.13108444,15.07471561,16.17499161,16.4734993
458.0299988,89.77553558,31.66369438,20.76441002,19.28523636,19.01558304,16.27876663,17.59081268,16.36161995,15.90417862,15.03695297,16.46637917,14.91154671,15.16564465,14.63780212,15.84353447,15.62052822,16.62593651,17.17911339
458.9299927,92.78102875,33.60008621,22.13531876,19.95127678,19.91665268,16.92030334,17.84324837,17.10454369,16.58023453,15.77678299,16.82192612,15.49833107,15.9897337,15.2815485,16.60273361,16.30097961,17.39947319,17.69115448
460,96.14321136,37.16756821,23.1545372,20.75858307,20.83455276,18.1272068,19.11515427,17.70746994,17.42896652,16.14749908,18.03052139,16.57300949,16.80422974,15.95569038,16.95732117,17.21278763,18.29397774,18.76922989
461.0599976,99.39749908,40.14129257,24.61590958,21.622715,22.00722504,18.78613472,20.0181942,18.64717674,18.17205811,17.27127647,18.73822403,17.45778084,17.67782974,16.96266747,17.90677261,17.66701508,19.36218643,19.35699654
461.9599915,101.5050125,42.44522095,25.45708656,22.69157219,22.51703072,19.77114296,20.39010811,19.24016762,19.07822609,18.05289268,19.42646599,17.83628845,18.08068085,17.22817421,18.45018387,18.61514473,19.78088379,20.34477425
463.0299988,103.4336395,45.1533432,26.75835991,23.54875565,23.19489288,20.47404671,21.32382774,19.74100494,19.55480003,18.70504379,20.09247208,18.73317528,18.80287552,17.86659813,19.38030434,19.28374672,20.26183319,21.05343246
463.9299927,103.8924484,48.19565582,27.80550957,24.40386772,24.15515518,20.94976616,21.94775581,20.57775497,20.37293053,19.07070541,20.76165199,18.93711281,19.47845459,18.40579605,19.88317871,19.95172882,21.06995201,21.45421028
465,105.5059204,52.60931778,29.48291016,25.3199482,24.85501289,21.33128166,23.30450439,21.23805046,20.85927391,19.7996788,21.52838135,19.91341019,20.08581543,18.94549751,20.97217369,20.56578255,21.90571022,22.71497345
466.0599976,105.252739,55.74240112,31.11519432,26.18520546,26.11564064,22.66129684,23.54224205,22.21051025,21.7925396,20.74347687,22.26880074,20.50758362,20.64029884,20.02545547,21.54081726,21.27490044,22.61697006,23.07870483
466.9599915,106.4095993,59.41926956,32.77346039,26.9139328,26.56508827,22.88922691,24.36011696,22.76697159,22.33133507,21.25425148,23.00949287,20.98936081,21.35870552,20.53765869,22.39256859,21.63866043,23.34619904,23.71126175
468.0299988,105.2008286,63.27937698,34.65119171,27.90673065,27.61375046,24.20692635,25.18249702,23.58625793,22.97205353,21.85540771,23.8337574,21.76352501,22.00829697,21.43950272,22.69167328,22.52295685,24.15484619,24.33699417
468.9299927,104.7789001,66.1803894,35.8791275,28.85628319,28.48477936,24.21068954,25.9395256,23.98163986,23.94902039,22.59089661,24.51972961,22.23674583,22.63486671,21.86022758,23.19015312,23.1397419,24.92732048,24.84940147
470,103.5309372,72.12673187,38.23778152,30.13251495,29.65936661,25.65754128,27.03954887,25.39805603,24.52245331,23.10400963,24.90992355,23.34941864,23.25144386,22.70385551,23.87991714,24.14876747,25.5788765,25.85852051
471.0599976,102.5295792,77.36724091,40.69905853,31.22274399,30.58041954,26.09754372,27.71453094,26.02306366,25.70436287,24.162323,26.308815,24.04106903,24.40846062,23.13440895,25.1154213,24.95933533,26.52106094,26.48147964
