Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
470,25.7664032,14.7315712,13.30694103,10.27797794,9.172495842,8.196767807,7.013170719,7.052937031,6.356658459,5.762070179,6.385336399,5.841423988,5.104041576,9.552056313,5.014635563,5.368376732,3.771627188,5.278470039
471.0599976,27.43041229,15.70305634,14.29373455,10.64021301,10.05742931,8.630456924,7.553838253,7.639454842,6.857533932,6.463714123,6.748263836,6.430137157,5.287561893,7.905481339,5.123870373,5.845350266,3.942433357,5.47155571
471.9599915,29.21714783,16.59293938,14.99034023,11.3225565,10.26488209,9.26190567,7.965378284,7.855258942,6.957650661,6.681552887,7.062502861,6.598805428,5.580842972,7.268739223,5.443031311,6.198682308,4.160126209,5.978494167
473.0299988,31.4865551,17.02967262,16.06213951,12.13097763,10.95291615,9.546014786,8.398797989,8.306649208,7.457224846,7.171590328,7.130735874,6.884611607,5.887794495,6.87249136,5.844573498,6.539910793,4.495220661,6.049049377
473.9299927,33.09164429,17.84011841,16.20625687,12.77724648,11.38689995,10.10967255,8.85267067,8.785803795,7.816794395,7.438050747,7.72382021,7.127673149,5.999976635,6.867631912,6.013502598,6.632822514,4.593033791,6.140325069
475,34.96258545,18.62918854,17.31775856,12.83966923,12.25205517,10.60243702,9.297122955,8.826201439,8.278307915,7.701510429,8.000554085,7.734582901,6.630402565,6.515616417,6.550833702,6.846173286,5.005222321,6.784962654
476.0599976,37.73539734,20.01122665,18.01202202,13.58304214,12.66316795,11.01781082,9.79643631,9.557639122,8.571926117,8.106626511,8.570168495,8.137921333,6.795739174,6.162255287,6.755754948,7.452861309,5.194259167,7.071360588
476.9599915,40.05086899,20.42508698,19.22226334,14.11554527,13.11675072,11.74681473,10.13184357,10.09648132,9.243834496,8.63522625,8.897170067,8.182359695,7.009482861,5.940886974,6.967842102,7.759789944,5.152499676,7.338068485
478.0299988,42.57917023,21.39756393,19.84433365,14.71025753,13.79326248,11.91210747,10.33188152,10.31278133,9.407669067,8.639371872,9.22840023,8.865122795,7.337023735,5.980501652,7.26764822,8.15715313,5.626051903,7.736366272
478.9299927,45.07961655,22.6121788,20.38529587,15.57906437,14.32108212,12.4093523,10.71911335,10.74979591,9.848068237,9.122864723,9.51646328,8.954491615,7.874107838,5.933909893,7.66814661,8.237706184,5.9631567,7.74165678
480,47.7284584,22.94465256,21.26865005,15.73486614,14.6737833,13.02213001,11.5007782,11.27503204,10.22873783,9.377817154,10.24778748,9.233076096,8.031657219,5.908694744,8.01147747,8.575248718,6.071378708,8.133880615
481.0400085,50.95413971,24.42640877,22.16061592,16.38583755,15.25621796,13.50199986,12.31846809,11.53051472,10.55685997,9.902730942,10.27362919,9.683956146,8.592317581,6.224141121,8.078035355,9.17420578,6.267252922,8.699769974
481.9400024,54.81354141,25.21517181,22.64003372,17.07504272,15.96380806,14.31156635,12.44012451,11.87422752,10.97519588,10.39180565,10.94877434,10.11417294,8.539505959,6.56764698,8.712251663,9.21391201,6.569149971,9.028056145
482.980011,58.31921768,26.04467583,23.36039352,17.50366592,16.20940971,14.28071785,12.66720963,12.39806843,11.46608353,10.69231033,11.23070526,10.25050354,9.049854279,6.692063808,8.821569443,9.798895836,6.913242817,9.357703209
484.019989,62.93033981,27.64050102,24.49675179,18.37020874,16.852108,14.76854134,13.34285259,13.01565361,11.97370815,10.82068729,11.61588001,10.69143772,9.323114395,6.972879887,9.346617699,10.12776852,6.952075958,9.603797913
485.0700073,67.44599915,28.70551491,25.25447464,18.47477531,17.45178223,15.18313789,13.55283833,13.37108135,12.21289349,11.45506096,11.98151779,11.09721279,9.768255234,6.839366913,9.603391647,10.03441429,7.33900547,10.04570103
485.9700012,72.03681183,29.54808044,26.00430298,19.30563736,17.92730713,15.9132719,14.04458332,13.65268803,12.80420303,11.49950314,12.29801369,11.58484459,10.08270741,6.95666647,9.570651054,10.62334538,7.44431448,10.11806488
