Wavelength (nm),60 s reaction,90 s reaction,120 s reaction,150 s reaction,180 s reaction,210 s reaction,240 s reaction,270 s reaction,300 s reaction,330 s reaction,360 s reaction,390 s reaction,420 s reaction,600 s reaction
502.980011,223.7748566,176.950531,111.9516144,127.0719604,117.3319931,106.8586731,72.10384369,64.99790192,40.28619003,68.41739655,61.54663849,65.07835388,55.69567108,50.49334717
504.019989,226.9124756,183.4754944,117.106926,131.5693359,122.0497742,108.9186249,73.93515778,67.24060822,40.51255417,69.78633118,62.89406204,65.36811829,57.74797058,51.45070648
505.0700073,235.1372528,190.1412048,121.0792389,136.5483551,126.8656082,112.7950134,76.89969635,69.8899231,40.30300522,71.37189484,64.89482117,66.67591858,59.21854782,51.82934189
505.9700012,239.1958618,195.8351288,125.2906647,143.0253601,131.4191589,116.9028854,78.92681122,70.89026642,40.71763229,73.53387451,66.71365356,67.19173431,60.61901093,52.0690155
507.0100098,247.7636414,202.7142334,130.4854889,148.363678,136.4335632,122.0774078,81.7479248,73.9635849,40.44873047,76.40057373,67.91670227,69.13043213,62.41626358,52.27536011
508.0499878,253.4918823,211.4967651,136.7821808,155.6806641,143.6141357,127.3863297,85.09268188,76.36711884,41.55899048,78.78556061,70.39231873,70.95069885,65.42024994,53.23138428
508.9500122,256.4309998,217.1434784,140.2229462,161.5166321,150.137146,132.0033722,88.94124603,78.19480133,42.45371246,81.13011169,72.25495148,73.45993042,67.29728699,52.56153107
510,261.704834,224.2914734,146.8890839,168.685379,157.0049896,138.9141998,93.52695465,81.99775696,42.58320618,84.608078,74.99011993,74.37207031,69.45453644,54.43708038
511.0400085,266.7200623,230.438797,153.174057,176.509552,164.9977112,143.1089172,97.26117706,85.75630951,42.30643463,88.44347382,76.93321228,77.02597809,72.72742462,54.38079071
511.9400024,267.2601318,236.504303,160.872879,184.655426,171.0758362,149.7241821,101.8044662,89.35874939,43.70288467,91.68151093,80.41689301,80.00496674,75.93862152,55.80541992
512.9799805,270.2336731,245.2667542,165.3638916,195.0533295,182.197525,159.6517639,107.6869125,93.21822357,44.66640854,96.15210724,84.67945099,83.17608643,79.66984558,55.99835587
514.0200195,271.5231628,251.9629364,172.4860229,201.9270935,190.925293,166.8478088,113.9690018,99.54122162,45.76236725,102.8565292,88.86217499,86.93856049,84.49619293,57.56616592
515.0700073,271.5088806,257.6227417,177.8440399,213.2894745,201.7081451,177.6234283,120.3282013,105.7840195,47.04000473,107.7588348,93.52237701,89.72710419,88.50333405,59.62913132
515.9699707,270.8648071,260.7084961,183.2775879,218.9412384,209.1333618,184.4263611,126.2127151,109.8326492,47.53065872,113.5186691,97.76734161,94.48021698,92.95149994,61.61309814
517.0100098,267.4460449,266.370636,189.5568085,227.674057,219.9121552,194.7688293,133.0378418,114.8574677,49.02706146,120.3647461,103.1430435,99.59213257,98.41942596,62.38034821
518.0499878,264.7330322,270.0395203,194.3572388,236.8984375,229.6719208,204.6153412,141.4220734,122.5128021,50.96255112,127.1417618,109.2305679,104.1281967,103.7346802,64.60612488
518.9500122,262.1400146,273.1540833,199.8382568,244.8222351,239.729187,212.970932,146.3283691,128.4378357,52.83621597,133.4126129,115.2928009,110.7182693,108.835434,66.91080475
520,258.6434937,274.2539368,202.3077545,253.6962891,248.7723236,225.475174,155.3759308,136.1042786,56.03791809,143.4237823,123.0014954,117.1712646,114.7306519,69.95059204
521.039978,251.9999695,274.8605347,207.4111938,260.6871643,259.8045044,235.8616638,163.3379822,143.3512726,58.19314575,151.4689178,129.7681885,124.2123718,123.9475098,72.52258301
521.9400024,246.3570862,274.6565552,209.1235504,266.5966797,267.5276794,244.1463928,171.142807,150.4633331,59.77302933,159.1426697,136.2367096,129.1887207,128.1585388,75.25617981
522.9799805,237.2457123,273.3198853,212.4537964,273.6225281,275.6517944,255.3222809,180.0605164,159.8018646,63.69087982,171.8271942,145.5614471,140.0187225,136.0777435,78.94047546
524.0200195,231.4033508,270.9911194,215.1035156,279.3262024,285.0105286,265.6216736,187.7952423,167.7063293,67.76470184,182.0082092,155.0771179,147.9423981,144.0290375,84.15715027
525.0700073,223.0918121,267.3991394,216.0870361,284.4217834,293.3770142,274.4589233,196.9552765,176.6715088,71.58325195,194.4567108,165.9541321,157.6479034,153.0855713,88.87016296
525.9699707,213.9732819,263.8050232,216.3578644,290.4473877,298.6322632,283.9663696,204.9484253,185.4181213,75.77835846,203.9207611,173.6091003,164.5545197,158.8895569,93.32917023
527.0100098,206.755661,258.0586853,215.7785034,291.590271,306.538208,295.0308533,213.357605,194.8336639,80.87631226,217.3278809,185.2016754,178.3270874,168.4239807,99.02245331
528.0499878,197.1490326,250.0287628,213.0623779,294.9004211,311.0957947,303.2009277,219.7981567,201.9539795,85.79639435,228.5301971,198.2295532,191.4305115,175.8442078,106.5958939
528.9500122,191.5796661,246.7978516,211.7858276,294.1661377,312.6846924,309.8716736,225.3258209,209.0476685,91.31291199,238.6240692,205.0357056,198.9502869,183.6075134,111.9475555
530,179.9338074,237.282608,209.0412445,292.7980042,314.4760437,315.9031372,232.1583862,216.9740753,97.83220673,250.9354401,216.5483093,211.4480438,190.4961548,121.2687912
531.0200195,172.5065002,229.1937256,204.0826416,290.1417542,317.1299438,321.4045715,237.7112732,222.8585663,104.5365524,262.9414368,227.8671875,222.3392029,197.1919861,128.7356262
532.0499878,162.9520264,221.5901642,200.2457581,285.7095947,317.442627,325.0160828,241.2156372,229.1557312,112.7868881,272.5325623,236.5139618,234.18013,204.6587982,138.5091248
532.9400024,156.4606628,210.8426819,194.2544556,282.0426636,316.3303223,325.4111938,242.3774414,235.8842926,119.9113922,281.9343262,246.4037781,245.879303,210.0180817,146.2886047
533.9699707,148.4923706,202.5191803,186.4405365,276.0626831,311.6633911,326.5584106,246.1500549,238.0722961,128.707016,289.8900146,255.1617279,258.4482727,213.9763031,157.210022
535,141.4784698,194.1312866,182.6127472,267.1742554,308.6651611,326.7058105,246.8343048,239.6777802,137.4638977,298.8045959,263.7777405,267.1445313,216.9468994,166.1737213
536.0200195,134.3701019,184.5990448,173.1112366,261.1748047,298.8647766,324.005249,246.5952301,242.2727509,145.5348053,304.6645813,269.5904846,275.3092041,220.9118042,176.7534637
537.0499878,127.8905411,173.9520874,165.0964661,250.5050354,292.5013428,317.7756042,243.9328461,243.8646545,155.5339355,310.5895996,275.99823,284.113739,222.4160614,186.2516022
537.9400024,122.5608749,164.5891266,157.7623291,240.3530731,284.6556396,314.3154907,240.7604523,243.4755249,163.0438385,313.0322876,278.9009399,289.6646118,223.0298157,196.3752289
538.9699707,117.0061111,156.2744751,150.4898071,229.0977325,273.1804199,305.8540649,236.703949,239.9410706,174.321228,312.8755493,283.9379883,298.0582581,222.2673645,208.1486816
540,111.738205,147.776886,142.580246,221.0317535,262.8332825,297.2342529,230.8392944,237.0043488,181.3465881,312.5759888,282.5081482,300.2194824,219.8153229,218.0109406
541.039978,106.9770126,140.2196808,134.4226074,208.5610046,252.4453125,288.1923218,225.4672394,232.6878204,189.4833221,309.5823364,282.559082,303.2476501,217.8318481,225.6812439
541.9400024,102.8134995,133.4465179,129.8539276,199.6315613,243.3380127,279.8086853,219.5275879,228.645462,194.6531067,306.2572632,281.0813904,300.6863098,212.6976929,234.6504822
542.9799805,99.39658356,127.2358856,121.4817429,188.9207611,230.9311218,267.9456482,211.82901,222.473587,201.9860382,301.8226013,279.2358704,302.2060547,209.5623016,242.0165863
544.0200195,96.37557983,120.1694565,115.6745377,179.9916687,219.144165,258.7900085,202.8275299,214.7483673,206.8759918,294.3738708,274.6716309,299.0546875,200.8966064,248.0037994
545.0700073,92.08622742,113.8660507,108.374588,168.8726044,206.0310516,245.1895599,194.802887,206.540741,212.4416351,286.0748596,266.7626038,295.6166992,196.2170868,252.1779785
545.9699707,89.44795227,108.3214035,102.2420807,159.1782532,195.9849243,235.2268372,185.1965485,199.6431427,215.0281372,278.6520386,261.0643005,288.1716919,189.5393677,254.1823425
547.0100098,85.8036499,103.6075134,96.82833862,150.7985992,185.8026733,223.1259613,177.1135559,189.7631226,216.6750793,267.953064,252.6388702,283.145813,181.3335114,255.6003571
548.0499878,83.07341003,98.69664764,92.22220612,140.5720978,173.1920166,210.7867737,167.453476,181.242981,220.5363312,256.7605286,242.9211273,275.3398438,172.4247894,256.9005127
548.9500122,80.76605225,94.64189148,87.13905334,134.5660858,166.0407867,200.1945648,161.2419434,174.0174408,218.1982117,247.0810699,234.0406036,268.163208,165.8476868,255.7449951
550,78.86256409,90.12325287,82.83447266,126.4029617,155.6442566,189.8541565,150.2433014,164.0755615,217.2335205,236.8227234,224.3480072,257.0003662,157.8895569,254.9429779
551.0200195,76.89758301,86.86702728,77.82980347,118.6193619,144.8493805,178.3448486,140.9548645,153.362381,215.4500427,222.5125732,211.9847412,245.546463,148.6409454,250.4449158
552.0499878,74.26417542,82.77690125,74.21769714,111.7321243,136.1901703,166.7297363,131.9134979,144.5653687,209.1268311,207.8345642,200.435379,234.7898712,140.0541382,244.1881714
552.9400024,72.7399826,80.12494659,70.95586395,105.0226746,128.1894989,157.2047272,124.4352951,136.769165,204.1010284,196.6046295,190.6796417,223.9839783,131.7421265,237.7414703
553.9699707,70.22649384,77.068367,67.26118469,99.87172699,120.1482773,146.9871826,116.8700104,129.3530579,200.131073,188.1097565,180.1654053,212.5308228,124.3978958,233.0323181
555,68.63858032,73.7983551,63.73148346,94.14707184,113.7766647,138.3946381,109.1315689,121.4598389,191.9282379,176.1802826,169.1616669,201.5892639,114.8593597,223.431076
556.0200195,67.17847443,71.34719849,60.60557175,88.91910553,107.6127472,130.101593,103.1906509,112.5950089,183.6668549,162.9979553,157.4220123,190.0027161,108.143837,213.5941467
557.0499878,65.73299408,68.91444397,58.66819382,83.55184937,101.1264191,120.8154678,95.67255402,105.4633102,175.5727081,151.831192,147.2669525,177.2869263,100.6081314,205.0247498
557.9400024,64.6774292,66.28258514,56.29512024,80.49504089,95.09607697,114.9745483,89.36830139,98.85779572,169.08638,141.7058258,138.5630646,166.0276337,94.08289337,196.0269165
558.9699707,63.89234924,64.67105103,54.18930435,75.97486877,89.57073212,107.4528656,83.96811676,92.86385345,159.75737,132.9954834,130.0367126,156.1430664,89.35812378,186.6299591
560,62.14769363,62.35167694,51.82282257,72.95263672,85.04485321,101.2613297,78.91181183,87.34629822,150.3974304,123.3197937,120.740181,145.405014,82.47251892,173.9341278
561.039978,59.9457016,60.97985458,50.35062027,70.10018921,80.87271118,95.93347931,74.77832794,81.9753952,143.2614288,115.917778,112.8255692,136.6275635,77.34074402,163.9906616
561.9400024,59.35967636,59.52008438,48.79896927,66.59914398,76.83384705,92.49192047,71.06548309,77.71426392,134.5449677,107.8939514,106.6573868,129.9276581,73.13787842,155.8976288
562.9799805,58.31135941,58.57402039,46.89155197,63.72901917,73.4679184,86.64012146,66.27557373,72.04304504,126.756073,101.6095505,98.44360352,119.520256,68.33541107,147.9075775
564.0200195,57.19193268,56.07865524,45.15060043,61.12662125,69.99771881,81.71152496,62.98442078,68.15943146,119.9170837,94.35372162,92.21503448,111.8691406,62.56772614,136.7922058
565.0700073,56.22817612,55.19456482,43.75189972,59.25834656,67.0207901,78.17827606,58.37091064,63.67126846,111.0899353,88.26534271,85.41192627,103.595459,59.21411133,126.4007721
565.9699707,55.1387558,54.38053894,42.9992981,57.28421402,64.14703369,74.48997498,57.10822296,60.71120071,104.4833145,82.99791718,81.27987671,97.49172974,55.8331604,120.5271454
567.0100098,54.84634018,51.90600204,41.81812286,55.05391312,61.76183701,70.38585663,53.02661896,56.94640732,97.66791534,77.54306793,75.85683441,90.90909576,53.62910461,111.7076263
568.0499878,53.64388275,50.98789978,40.26117325,53.85848999,59.14583969,67.51940918,50.99026108,54.42505264,90.93255615,72.88581848,71.54698944,86.86081696,50.39400864,104.3650665
568.9500122,52.48699951,50.5296936,39.4621048,51.37711334,57.25391769,65.8049469,48.59059906,51.89757156,86.84855652,69.89265442,66.94734955,81.6669693,47.81165695,98.46472931
570,51.56155777,49.90216827,38.62944412,50.28952026,56.10999298,63.98892975,46.06972122,49.46479034,81.46634674,65.94754791,63.21308899,76.71378326,45.77986145,91.96678162
571.0200195,51.48603821,48.86655807,37.45552063,48.36192322,53.37621307,60.91465378,44.48154449,47.31496429,75.72068787,62.28105545,60.73426437,72.93557739,42.75548172,86.2575531
572.0499878,49.49153137,47.78193283,36.63164139,47.09865952,52.09460068,59.37958145,42.58532333,45.26097488,72.47535706,59.09371185,57.36023331,68.26700592,41.24299622,80.65398407
572.9400024,49.49068451,46.36447144,35.74390793,46.30057526,51.71802139,57.86291122,41.07530975,44.51935196,68.51527405,56.00920105,54.56947327,65.17830658,39.37269211,76.56217194
