Wavelength (nm),20 s,40 s,60 s,80 s,100 s,120 s,140 s,160 s,180 s,220 s,240 s,260 s,280 s,300 s
387.9971313,0.124011315,0.302224994,0.215566903,0.678433895,0.221387863,0.544864476,0.749931753,0.414163858,0.311474472,0.254588395,0.560384214,0.563720524,0.600930154,0.53261435
386.9879761,0.127011344,0.309568614,0.220277876,0.692977786,0.226110727,0.55616945,0.764630437,0.421923131,0.317174435,0.259428442,0.570257008,0.57306993,0.611143112,0.541633189
386.0174866,0.130135402,0.317407429,0.225405365,0.708567321,0.230974346,0.567768335,0.781079769,0.430398583,0.323314756,0.263942808,0.581069291,0.582774937,0.621997654,0.551074326
385.0080261,0.13337253,0.324577451,0.23051624,0.723581255,0.235811055,0.579313874,0.795541883,0.438868344,0.329446703,0.269063979,0.590917826,0.592710137,0.632351816,0.560154557
383.9984741,0.136297837,0.331834912,0.235056773,0.737980604,0.240164504,0.589771152,0.809604526,0.446126878,0.335620284,0.273660094,0.601173699,0.60204345,0.642403364,0.569091678
382.988678,0.13932623,0.338826537,0.239699528,0.751615107,0.244440794,0.599835932,0.824042678,0.453852415,0.340742767,0.278018564,0.609983742,0.610765338,0.651829541,0.577588201
382.0175781,0.142798692,0.347149998,0.24486348,0.768098295,0.249828652,0.611809552,0.84055233,0.46241799,0.347703934,0.283195108,0.621051014,0.621067524,0.662875176,0.587461293
381.0075378,0.146348968,0.356134564,0.250529289,0.785679042,0.255388886,0.625746191,0.858228266,0.472115189,0.354481697,0.288826764,0.633737505,0.633194089,0.675003588,0.598157466
379.9973145,0.150082514,0.364701062,0.256325781,0.80206722,0.260884076,0.638562381,0.874980807,0.481471092,0.361932516,0.294277102,0.645360887,0.643754244,0.687126935,0.608745873
378.986908,0.153984428,0.37416485,0.262204111,0.819700301,0.266711921,0.651978433,0.893231571,0.490871042,0.369335145,0.30014202,0.65745014,0.65533793,0.698853254,0.619585156
378.0152283,0.156971112,0.381090373,0.266967893,0.83496505,0.271254122,0.66324085,0.908325613,0.499514848,0.375571579,0.305096656,0.667972505,0.66540736,0.709664881,0.629196882
377.0045471,0.160673216,0.38974157,0.272833526,0.851226568,0.276684374,0.675329447,0.924360275,0.508358479,0.382015199,0.310437828,0.678961575,0.676540792,0.721781373,0.639325917
375.9937134,0.165174618,0.399871796,0.279732704,0.871098161,0.283469468,0.690636098,0.944611728,0.519456208,0.390439898,0.316965014,0.693337619,0.689698517,0.735554934,0.651215732
374.9827576,0.169546023,0.410076052,0.286626875,0.890053093,0.289757341,0.704777837,0.96338129,0.529952407,0.398504615,0.323646247,0.706592679,0.702948928,0.748752594,0.663877666
374.010498,0.173092499,0.419013828,0.291985631,0.907797933,0.295381129,0.717660904,0.980747104,0.539480329,0.405727565,0.328822702,0.719471455,0.714219987,0.760661662,0.674306035
372.999176,0.17688182,0.427716345,0.298162669,0.924317598,0.301155418,0.731177986,0.999164283,0.549426496,0.413231343,0.334960491,0.731741667,0.725891352,0.773594677,0.685507596
371.9877625,0.181558743,0.438643992,0.305313259,0.945379555,0.308128744,0.747220814,1.019346356,0.561199009,0.422117353,0.341877669,0.746532738,0.73954165,0.788169026,0.69894886
371.0150757,0.185860202,0.44866693,0.311595231,0.964947105,0.314127475,0.761909306,1.037994027,0.57172209,0.430250019,0.34814778,0.759725452,0.75165844,0.801209748,0.710430682
370.0033264,0.190437168,0.458999425,0.318854183,0.984655142,0.32109037,0.776759327,1.058025002,0.582953155,0.438674063,0.354795933,0.77411741,0.765292704,0.814804375,0.723050475
368.9914856,0.194673732,0.469238073,0.325261027,1.002941608,0.327053845,0.790784121,1.076455116,0.594181597,0.447101116,0.361100078,0.787932456,0.778083205,0.82914722,0.735515773
368.0183411,0.198798254,0.479229361,0.331457913,1.022561908,0.333377987,0.804869771,1.09428215,0.603198111,0.454502404,0.366746992,0.801217377,0.7900123,0.841861546,0.746405125
367.0061646,0.203541592,0.489484638,0.338718683,1.042136192,0.340462655,0.82020545,1.115751028,0.614706338,0.46298328,0.373925149,0.815441132,0.803689003,0.856344223,0.75949508
365.9938049,0.20867306,0.501842558,0.346323967,1.065082788,0.347432196,0.83795625,1.137418628,0.627264142,0.472890645,0.38135913,0.830364823,0.817999125,0.872625947,0.773105919
364.9813538,0.213901982,0.513950765,0.354631811,1.087842226,0.355359733,0.855197847,1.160965681,0.639988124,0.482250899,0.388538718,0.846908331,0.832983732,0.887315393,0.787757337
