Run,Emi_peak_nm,Eg_prime_eV,Radius_nm
Run 2,512.3070029594222,2.420423677281287,2.148845426306549
Run 2,521.6846480599407,2.3769148749371016,2.2146717322203813
Run 2,527.2736282150706,2.3517201195850705,2.255760663709656
Run 2,531.1127920109002,2.334720644375952,2.284853942051163
Run 2,534.3277831123041,2.3206728887975094,2.3097915715426383
Run 2,536.2271529121384,2.312452835082702,2.324780114329208
Run 2,539.7618011703164,2.2973096601341942,2.353198576068164
Run 2,541.5804283986132,2.2895952936603114,2.3680953883872053
Run 2,542.4091189455767,2.286097258856035,2.3749471379277374
Run 2,544.4000997099008,2.27773654093886,2.3915755208905614
Run 2,545.2446549908778,2.274208446886555,2.3987014150422463
Run 2,546.397254994729,2.269411108245707,2.408497206911437
Run 2,547.8682431700723,2.2633178970642986,2.421119554229516
Run 2,548.6983909226931,2.2598936328477506,2.42830361979637
Run 2,549.9359221178156,2.2548081515110563,2.439095822308705
Run 2,551.1670135934531,2.2497717922477807,2.4499315945884423
Run 2,553.2294869997208,2.24138450523449,2.468312815173743
Run 2,552.9586670594164,2.2424822574790384,2.4658826951508304
Run 3,512.3070029594222,2.420423677281287,2.148845426306549
Run 3,521.6846480599407,2.3769148749371016,2.2146717322203813
Run 3,527.2736282150706,2.3517201195850705,2.255760663709656
Run 3,531.1127920109002,2.334720644375952,2.284853942051163
Run 3,534.3277831123041,2.3206728887975094,2.3097915715426383
Run 3,536.2271529121384,2.312452835082702,2.324780114329208
Run 3,539.7618011703164,2.2973096601341942,2.353198576068164
Run 3,541.5804283986132,2.2895952936603114,2.3680953883872053
Run 3,542.4091189455767,2.286097258856035,2.3749471379277374
Run 3,544.4000997099008,2.27773654093886,2.3915755208905614
Run 3,545.2446549908778,2.274208446886555,2.3987014150422463
Run 3,546.397254994729,2.269411108245707,2.408497206911437
Run 3,547.8682431700723,2.2633178970642986,2.421119554229516
Run 3,548.6983909226931,2.2598936328477506,2.42830361979637
Run 3,549.9359221178156,2.2548081515110563,2.439095822308705
Run 3,551.1670135934531,2.2497717922477807,2.4499315945884423
Run 3,553.2294869997208,2.24138450523449,2.468312815173743
Run 3,552.9586670594164,2.2424822574790384,2.4658826951508304
Run 4,488.4664862003888,2.53855696354018,1.9966122795625314
Run 4,488.00398185872007,2.5409628734525103,1.993847523391182
Run 4,493.5340407697392,2.512491333051793,2.027342894411551
Run 4,496.3571342906631,2.498201223141612,2.044821419487135
Run 4,498.93752549001766,2.4852810956284923,2.0610306311793343
Run 4,501.65346291884975,2.471825855213102,2.078339382642214
Run 4,503.5148317651257,2.4626881310587136,2.090352882043681
Run 4,505.41688818159037,2.4534201942901492,2.102758947506198
Run 4,506.5378614109998,2.4479907514630503,2.1101331208203797
Run 4,507.25208945158624,2.444543897967225,2.1148561709101314
Run 4,508.68536640634414,2.437656126733303,2.1243926415543264
Run 4,509.21329455654234,2.4351288806783344,2.1279251519768323
Run 4,507.86055867149764,2.441615082777232,2.1188951037786716
Run 4,505.38449764366965,2.4535774361529468,2.1025465666457297
Run 4,502.32866038140764,2.4685033879183678,2.0826828178447467
Run 4,505.63542809467356,2.452359805309818,2.104192905528479
Run 4,506.94280202669444,2.4460353220178566,2.1128085497177986
Run 4,508.09903870385784,2.4404690927249044,2.120481949775881
Run 5,474.9601217636249,2.6107454987918235,1.918451572390425
Run 5,490.4788682674479,2.5281415372289877,2.008718836506548
Run 5,499.9446422880549,2.4802746046542183,2.0674189369676865
Run 5,506.6986452493561,2.4472139636169192,2.111194674788328
Run 5,511.61545994947613,2.423695327976317,2.144136164604078
Run 5,515.5278628816113,2.4053016127370026,2.1710347571398336
Run 5,518.0919022787969,2.3933977631110093,2.189008267899635
Run 5,520.7313099399859,2.38126645417751,2.2078062706605674
Run 5,522.3320503183312,2.373968817812906,2.219357314937612
Run 5,524.2066016534765,2.365479557275195,2.2330323184490957
Run 5,525.3889887767823,2.3601560491151226,2.2417417165629794
Run 5,526.4705757942542,2.35530731822816,2.249766381658333
Run 5,527.701276553421,2.349814289059182,2.258965488394647
Run 5,528.924012940282,2.344382122314424,2.268177953954146
Run 5,529.498694138753,2.341837692379772,2.272533199280222
Run 5,530.0700012233991,2.3393136701531603,2.2768791519730303
Run 5,531.6249238825708,2.3324715307627306,2.2887906643503415
Run 5,532.4511592900468,2.3288520991359585,2.2951701783266913
