Wavelength (nm),30 s,60 s,90 s,120 s,150 s,180 s,210 s,240 s,270 s,300 s,330 s,360 s,390 s,420 s,450 s,480 s,570 s,600 s
300,16.22346878,10.33264923,4.85817385,10.1892786,2.057026386,3.380457401,2.494882822,3.708713293,2.473417521,5.152236938,2.39969039,3.320683002,3.653530836,4.61255455,4.120040417,2.93735671,4.761822701,2.231713057
300.929993,18.63080788,12.52966309,5.68555212,11.91889477,2.293362617,4.158526421,3.048578501,4.440916538,3.138124466,6.277000904,2.950241804,4.005556583,4.212388039,5.467192173,4.833171844,3.423632383,5.609304428,2.795676231
302.029999,22.25685883,14.78185272,6.74339628,13.93077755,2.859392405,4.860948086,3.867980957,5.189869404,3.647459507,7.221885681,3.872990847,4.745065212,5.042016983,6.464151382,5.852018356,4.045199871,6.475829124,3.289675236
302.959991,24.21866608,16.3703804,8.53790951,15.89873981,3.232257605,5.67432642,4.477725029,6.097494602,4.234485626,8.592108727,4.568210602,5.44959116,5.825242519,7.28711462,7.105804443,4.616834641,7.285634041,3.717711926
304.059998,28.22164917,19.47904396,9.61743736,17.98557091,3.921481371,6.216846466,5.126576424,6.81941843,4.921555519,9.731566429,5.172608852,6.503575325,6.909413815,8.610947609,8.694761276,5.366949558,8.293933868,4.424829006
305,31.48906326,22.14471054,11.4570255,20.22393608,4.717915535,7.922902584,5.84031105,7.969614029,5.743525505,11.11225605,5.839929581,7.077879906,8.154813766,9.643891335,10.02737904,6.187430382,9.50661087,5.197553158
305.929993,35.88196182,25.1926384,12.9703217,23.45588112,6.10320425,8.79907608,7.082831383,9.403460503,6.765176773,12.66388416,7.003226757,8.206599236,9.398961067,11.22279263,11.7587986,6.962261677,11.00201035,6.030462742
307.029999,39.17172623,28.6606369,14.8831587,25.84567261,7.345644474,10.07861519,8.158840179,10.51056194,8.028587341,14.74378395,7.839249611,9.514511108,10.67025375,12.91401482,13.71529961,8.16776371,12.55630493,6.498735905
307.959991,42.67894363,31.13237572,16.8632526,28.22390938,8.384409904,11.07226086,9.362376213,11.63020325,9.079714775,16.08461189,8.953948975,10.52861309,11.86900234,14.02654266,15.29747009,8.850750923,12.9763155,7.478455067
309.059998,45.72307968,34.22333527,19.5024967,31.02522469,9.523913383,12.81020546,10.52931404,13.16376877,10.15301514,17.14795494,9.879143715,11.47809029,12.82781887,15.56779575,16.98618126,10.17542744,14.56476116,8.133237839
310,48.62805176,36.30435181,20.8330994,32.49575424,10.86696911,13.72450638,11.4861908,13.59479141,10.74470806,18.7974472,10.75847244,12.64854145,13.97725296,16.38205147,18.25719833,10.44098568,15.91875362,8.889427185
311.070007,52.67573166,38.96530533,22.1745281,35.69017029,12.40488338,15.25942039,12.59941006,15.00765705,12.23805523,20.36666679,12.03376007,13.94294548,15.56779671,18.44986153,20.84405327,12.02415752,17.27134514,9.671373367
312,54.55571365,42.53287506,24.5940876,37.9448204,14.0039978,16.56863022,14.00284863,16.49514771,13.08043003,22.06572723,12.87676239,14.73691463,16.64134598,19.44482422,22.98033524,12.87480545,18.56092644,10.8795023
313.070007,58.30626297,45.36559296,27.2512722,41.01883316,16.40140915,18.07143211,14.9014864,17.53422546,14.92446518,23.60590935,14.03788662,16.14485741,18.37661171,21.18427467,25.0477066,14.01997375,19.60808182,11.79460335
314,62.31521606,48.15288925,28.8048,43.13402176,18.33901024,19.50716019,17.18552208,19.21408463,16.03170776,25.04008484,15.808074,17.63500214,20.08402443,22.79894829,27.30628204,15.11312675,20.69099426,12.54687691
315.070007,64.37203217,51.31113052,31.8104782,46.70053482,21.00405121,21.31788063,18.81580544,20.86741447,17.6409626,27.14690399,16.80323982,18.16179085,21.63438797,24.69598389,29.82395935,16.47973442,22.54605484,13.74291515
316,69.48693085,54.2973175,34.692421,49.09292603,23.93343163,23.23342514,20.57250023,22.25894547,19.2490139,30.19611168,18.46335411,20.34824944,23.16412735,26.81383514,32.07683563,17.44615936,24.00956917,14.765481
317.070007,73.66641235,58.63756943,38.2806854,52.57204819,26.91303253,26.2502079,22.70901108,24.27838326,21.33056831,31.92369652,20.20602798,22.22083282,25.64841843,28.96990776,35.62134552,19.74186134,25.54051781,16.4054184
318,77.47289276,61.93590164,40.7671165,55.41601563,30.11302185,27.50687981,24.48757744,25.47434998,22.34035683,33.15011978,21.63813591,23.62482452,27.32921219,31.18792534,38.2605896,20.39581299,28.49657059,17.25686264
319.070007,81.54341888,66.72664642,44.0470352,60.11380768,32.99248123,30.01410675,26.27049828,27.71173286,24.72356224,36.88944626,23.50617599,25.65408134,30.85742378,33.53559113,40.6915741,21.79478455,29.45062447,18.97848511
320,86.42037964,70.70571136,47.0804138,62.79656219,36.88013077,32.62543488,29.15724182,29.94754601,26.31138229,38.9499588,25.04306221,27.32855415,31.25156403,35.0908699,45.08935928,23.62913704,31.77820587,20.22646904
320.929993,89.04419708,74.65843201,51.6845856,66.69758606,40.37251663,35.95370865,31.75455666,32.41744614,29.03943825,41.37106323,27.91890526,29.76259804,34.01699448,37.64096832,48.60326767,25.23836327,33.80946732,22.10280609
322.029999,93.54057312,79.41893005,54.9145851,71.53495026,45.22558212,37.96261978,33.57140732,34.23406219,31.36402702,44.65651703,29.10717964,31.4704628,37.04697418,40.0991745,52.15374756,27.58765793,36.09341812,23.90078735
322.959991,96.73487091,82.16364288,57.960144,72.54871368,48.79407501,40.75151825,35.74189377,36.79885101,33.07378387,46.88022995,31.60687256,34.11272812,38.50370026,42.13508987,55.00300598,29.17805099,38.67671585,25.53191376
324.059998,99.95259857,85.04582214,60.0250854,74.9760437,51.31932449,42.35301208,38.05894852,38.12377167,35.25886917,49.40194702,32.87255859,35.40446091,40.14026642,44.14793396,56.66975784,31.04031754,40.18288422,26.27401733
